@RELATION knnMusicGenre2
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {ad,sp}

@DATA
0.149000,0.014369,3.128767,0.247970,0.228581,1.188301,0.010219,0.246895,-25.781629,1.603888,-0.001408,0.137253,0.059314,-0.031690,-0.068850,-0.000495,-0.031403,0.000038,-0.025506,-0.015869,-0.013554,0.019203,0.006570,0.031322,0.012653,0.018249,0.013189,0.038143,0.003949,0.007551,0.020000,0.021834,0.006718,0.025980,0.072022,0.009579,0.201199,0.064289,0.031309,0.473560,0.006847,0.146180,1.632694,0.636922,0.585355,0.428449,0.375445,0.341737,0.320416,0.293624,0.296342,0.298592,0.285740,0.282658,0.259658,0.021023,0.009130,0.028229,0.016309,0.019692,0.017375,0.031700,0.005663,0.009800,0.017840,0.020313,0.009490,0.012312,ad
0.153081,0.012353,3.108415,0.250081,0.228568,1.144208,0.011290,0.254524,-25.816372,1.786243,0.132930,0.106836,0.023688,-0.037855,-0.064731,0.042685,-0.032425,-0.006898,-0.047844,0.009646,-0.069291,0.020886,0.008302,0.037231,0.012245,0.018552,0.012609,0.028910,0.003093,0.007940,0.018070,0.025329,0.004941,0.023863,0.099805,0.009302,0.227659,0.085537,0.033468,0.607275,0.007445,0.188470,1.637221,0.753953,0.696615,0.458986,0.405120,0.354700,0.348242,0.304895,0.293648,0.289811,0.286721,0.274502,0.243748,0.025677,0.010751,0.032487,0.016168,0.020891,0.015551,0.030175,0.004336,0.010572,0.019707,0.026704,0.006986,0.012671,ad
0.129273,0.015387,3.161898,0.226525,0.220316,1.032628,0.009760,0.214703,-25.943742,1.939045,-0.053013,0.066444,-0.031674,-0.035451,-0.114092,-0.049327,-0.065397,-0.030534,0.030505,0.000813,0.010604,0.017397,0.006057,0.029247,0.017566,0.026402,0.016540,0.027975,0.004337,0.010389,0.015749,0.023124,0.007884,0.025779,0.062337,0.010417,0.159947,0.058576,0.030620,0.435245,0.007078,0.127124,1.379218,0.593552,0.564413,0.406559,0.351149,0.324040,0.307275,0.289037,0.293325,0.291076,0.285195,0.273460,0.258680,0.020851,0.007682,0.028404,0.019742,0.024953,0.020889,0.025426,0.006367,0.012938,0.015835,0.022701,0.009429,0.011951,ad
0.151333,0.010497,3.128367,0.249551,0.228996,1.186709,0.011187,0.262363,-25.982267,1.737989,0.146410,0.074129,0.057629,-0.043608,-0.014095,0.000846,-0.022991,-0.051018,-0.053201,0.027378,-0.026702,0.018376,0.007073,0.036951,0.014070,0.019129,0.011656,0.032265,0.003195,0.007382,0.018373,0.026749,0.004872,0.024977,0.087803,0.007752,0.186589,0.077254,0.031271,0.562323,0.009229,0.173783,1.552296,0.697676,0.638425,0.424455,0.385934,0.340915,0.338730,0.302360,0.296514,0.279558,0.278830,0.262270,0.244389,0.023604,0.008225,0.034297,0.018713,0.022614,0.016528,0.030126,0.004566,0.009715,0.020546,0.026081,0.006484,0.012936,ad
0.120758,0.006299,3.116653,0.233193,0.235437,0.933144,0.010923,0.204630,-26.973192,2.047109,0.124885,0.122717,0.063256,0.015667,-0.122960,0.036745,0.008264,-0.037333,-0.046063,-0.023990,-0.023209,0.019075,0.006066,0.074995,0.010610,0.014894,0.012770,0.069740,0.002237,0.006527,0.013629,0.028816,0.005043,0.037698,0.086573,0.006173,0.192647,0.084110,0.035711,0.556618,0.007759,0.180676,1.586960,0.576658,0.637349,0.409728,0.386831,0.339739,0.306306,0.280674,0.263581,0.282240,0.267275,0.256812,0.246764,0.022640,0.007949,0.066442,0.013979,0.018198,0.016996,0.063103,0.003208,0.009429,0.015213,0.025101,0.007149,0.019702,ad
0.149109,0.013783,3.129370,0.248086,0.228700,1.195298,0.010298,0.247833,-25.847104,1.610585,0.026665,0.134624,0.060965,-0.028173,-0.057930,0.004550,-0.032589,-0.000188,-0.020087,-0.016205,-0.018490,0.019118,0.006444,0.032308,0.012428,0.018513,0.013070,0.038724,0.004025,0.007792,0.018344,0.022623,0.006687,0.025991,0.070600,0.009460,0.194982,0.063643,0.031638,0.478817,0.006852,0.146875,1.629587,0.637964,0.575345,0.437458,0.368400,0.344168,0.317142,0.298219,0.296722,0.300946,0.289578,0.278532,0.255446,0.020741,0.008849,0.028728,0.016062,0.019753,0.017430,0.031290,0.005772,0.010569,0.017871,0.020968,0.009387,0.012166,ad
0.152201,0.012269,3.117056,0.248419,0.226080,1.142475,0.011630,0.255371,-25.797428,1.801339,0.101632,0.070298,-0.017104,-0.049318,-0.068758,0.039299,-0.023093,-0.002394,-0.058296,-0.012887,-0.072362,0.020331,0.010158,0.036068,0.013281,0.019006,0.012998,0.026479,0.003014,0.008033,0.017671,0.024346,0.005093,0.023909,0.100603,0.008997,0.231440,0.087715,0.034593,0.614468,0.007908,0.189405,1.606089,0.771005,0.699056,0.468163,0.407350,0.352296,0.345318,0.303246,0.310674,0.294956,0.294277,0.277366,0.252763,0.024915,0.012891,0.032518,0.017524,0.022772,0.016602,0.028353,0.004216,0.010481,0.020388,0.025516,0.006881,0.012798,ad
0.150026,0.012585,3.127464,0.246375,0.223517,1.197074,0.010264,0.256530,-25.961577,1.682056,0.072152,0.080386,0.023544,-0.037037,-0.089948,0.024822,-0.050313,0.018923,0.043156,0.018518,-0.004156,0.018715,0.005459,0.028550,0.013589,0.020409,0.011844,0.028579,0.003911,0.010586,0.017100,0.024150,0.006160,0.022627,0.085939,0.008821,0.200247,0.075264,0.031569,0.547362,0.006924,0.165895,1.572004,0.700072,0.648009,0.422132,0.377753,0.344203,0.323559,0.293311,0.286848,0.282848,0.265172,0.267270,0.250287,0.023086,0.007461,0.027883,0.015571,0.021293,0.016145,0.026894,0.005189,0.012752,0.018843,0.025587,0.008038,0.011986,ad
0.154901,0.010440,3.131583,0.254029,0.229126,1.218629,0.010245,0.270525,-25.996009,1.651652,0.143781,0.073510,0.059915,-0.028171,-0.002716,0.018424,-0.015390,-0.056623,-0.041176,0.032445,-0.023272,0.018198,0.007574,0.036798,0.013816,0.018491,0.011442,0.032010,0.003091,0.007317,0.016518,0.026838,0.004638,0.024806,0.087547,0.007467,0.194721,0.077037,0.031798,0.550345,0.007735,0.170047,1.580976,0.705230,0.652388,0.429290,0.392914,0.343975,0.339597,0.302576,0.302607,0.286027,0.286701,0.261589,0.243501,0.022845,0.009420,0.034167,0.018084,0.022535,0.016301,0.029981,0.004616,0.010080,0.018185,0.025562,0.005867,0.013051,ad
0.134053,0.023398,3.124125,0.236839,0.228363,1.032311,0.010700,0.231570,-24.976500,1.959180,0.087807,0.112672,0.062354,-0.001604,-0.146230,-0.006683,-0.020689,0.023719,-0.040315,-0.051993,-0.052280,0.020379,0.006095,0.054247,0.012042,0.014289,0.011359,0.055708,0.002574,0.008210,0.019114,0.028609,0.005763,0.031445,0.092704,0.018022,0.176091,0.088616,0.039031,0.577219,0.006335,0.192513,1.763190,0.635840,0.741948,0.437799,0.408313,0.363812,0.306488,0.292406,0.276316,0.274224,0.267603,0.276118,0.253913,0.025175,0.008585,0.049442,0.016381,0.016488,0.015808,0.047620,0.003904,0.011965,0.017592,0.026618,0.008063,0.016106,ad
